Time (UTC) , i value , j value , latitude , longitude ," u (west to east wind, m/s) "," v (south to north wind, m/s) ", temperature (C) , relative humidity (%) , vertical velocity (cm/s) , pressure (mb) , water vapor  (g/kg) , turbulent kinetic energy (m^2/s^2) , precipitation rate (mm/hr), sensible heat flux (W/m^2) , Latent heat flux (W/m^2) , tracer concentration
17.3,76,56,33.269,-81.616,3.56126,0.51644,15.10695,35.71394,18.33804,991.54663,3.9171,0.9858,0,332.64328,0.26386,0.0
17.0,55,27,33.24,-81.637,3.69538,0.36019,14.39766,37.84953,1.89881,992.92487,3.95697,0.80584,0,319.19528,0.17793,0.0
14.8,16,55,33.268,-81.676,3.62781,-0.21694,9.43283,53.05065,-3.4516,995.93396,3.96601,0.41172,0,121.88593,-0.62969,0.0
16.0,62,33,33.246,-81.63,3.66224,-0.42515,12.15709,44.14739,0.76909,991.69464,3.98342,0.56866,0,236.2104,0.95831,0.0
16.6,10,20,33.233,-81.682,3.55079,0.25587,13.63439,40.79681,-3.80898,995.0484,4.04694,0.6199,0,182.74246,34.30254,0.0
17.0,27,8,33.221,-81.665,3.32125,0.53819,14.38465,38.7184,3.90313,993.50452,4.04195,0.7602,0,291.98511,0.58569,0.0
13.6,61,45,33.258,-81.631,6.83386,-1.35985,8.19819,54.95709,-6.01244,992.65698,3.78828,0.0005,0,-21.33143,0.2594,0.0
15.6,10,14,33.227,-81.682,3.27625,-0.25011,11.18389,48.29451,-1.2057,993.55945,4.07463,0.51159,0,111.0919,32.78057,0.0
15.7,10,7,33.22,-81.682,3.23493,-0.2303,11.49736,47.25584,-0.8686,993.5058,4.07209,0.60275,0,200.41476,45.84278,0.0
12.2,79,26,33.239,-81.613,7.16886,-1.25591,8.22569,54.89277,9.94332,993.44904,3.78794,0.00243,0,-27.30295,0.41913,0.0
14.1,61,53,33.266,-81.631,6.25755,-0.82329,8.15141,55.88026,-5.40399,993.60284,3.83584,0.00315,0,41.7109,-0.16516,0.0
13.7,24,19,33.232,-81.668,6.51999,-1.38801,8.06009,56.00776,4.44044,994.48529,3.8171,0.00175,0,-8.33546,5.54276,0.0
16.8,6,21,33.234,-81.686,3.54575,0.49614,14.02575,39.69003,-3.61264,995.08984,4.04005,0.67182,0,205.25771,1.28439,0.0
12.5,18,44,33.257,-81.674,7.33267,-1.11141,8.32497,54.18515,-7.16388,993.74115,3.76359,0.0005,0,-18.39085,0.33282,0.0
16.1,54,14,33.227,-81.638,3.29332,-0.22096,12.8696,42.56857,-2.79599,994.45129,4.01639,0.77622,0,250.50014,0.68388,0.0
12.6,28,37,33.25,-81.664,7.59857,-1.45782,8.48962,53.23484,2.69997,992.45996,3.74449,0.0005,0,-25.16788,0.37486,0.0
12.1,78,23,33.236,-81.614,6.91202,-1.04716,8.13855,55.53711,5.79205,994.00409,3.80737,0.01095,0,-18.00091,0.4025,0.0
15.9,10,23,33.236,-81.682,3.43674,-0.10222,12.05512,45.4123,-0.50157,995.10974,4.05557,0.47109,0,142.61839,0.98801,0.0
14.9,38,66,33.279,-81.654,3.77808,0.03176,9.35417,53.05827,7.57543,993.97729,3.95323,0.25638,0,14.00865,0.84223,0.0
18.0,77,22,33.235,-81.615,4.05216,2.86787,16.13862,33.36259,13.52305,993.40631,3.90643,1.18309,0,397.78204,2.9363,0.0
16.9,38,51,33.264,-81.654,3.52657,0.39792,14.15766,38.4944,2.83475,992.1709,3.96437,0.71402,0,205.11588,1.20225,0.0
16.7,79,44,33.257,-81.613,3.75301,0.09294,13.79368,39.03409,0.38302,991.03705,3.92915,0.89913,0,303.76205,1.27693,0.0
13.6,39,17,33.23,-81.653,6.88802,-1.58167,8.13518,55.36787,-5.5593,993.00836,3.79873,0.0005,0,-9.66616,-0.41577,0.0
15.1,16,7,33.22,-81.676,3.64799,-0.59438,9.89859,52.45446,-6.70573,994.47382,4.05366,0.43326,0,29.48339,56.7093,0.0
17.4,35,12,33.225,-81.657,3.29628,0.78837,15.02125,36.78888,8.24509,992.74438,4.00749,0.83714,0,233.88718,1.81632,0.0
14.2,64,66,33.279,-81.628,6.35364,-0.90531,8.22729,55.48617,3.88543,992.78595,3.8319,0.00916,0,92.08882,-0.21198,0.0
14.0,10,5,33.218,-81.682,6.56031,-1.35247,8.24539,55.36395,-4.93083,994.34393,3.82215,0.00458,0,30.31125,18.2154,0.0
15.1,52,21,33.234,-81.64,3.6241,-0.31704,9.95169,51.58333,-2.12608,994.02649,4.00255,0.53132,0,147.39775,-1.67161,0.0
16.5,62,57,33.27,-81.63,3.70007,-0.4591,13.61544,39.9033,5.96607,993.31305,3.96037,0.70969,0,284.64505,0.97171,0.0
16.3,68,28,33.241,-81.624,3.63915,-0.37436,13.07659,41.40956,0.13569,992.31067,3.96981,0.77131,0,264.39615,1.2058,0.0
12.6,60,6,33.219,-81.632,7.27909,-1.59236,8.19269,55.02366,18.06923,994.33655,3.78495,0.00181,0,-28.71466,0.41145,0.0
17.6,44,12,33.225,-81.648,3.50155,1.28146,15.37159,35.75007,9.07216,992.78052,3.98448,0.83612,0,342.77713,0.7731,0.0
15.8,34,33,33.246,-81.658,3.6306,-0.18288,11.58906,46.19491,-0.27907,991.78503,4.01229,0.46094,0,122.4818,0.97284,0.0
12.0,78,36,33.249,-81.614,7.37568,-1.10918,8.36184,54.1263,2.95772,992.22198,3.77487,0.00055,0,-23.90662,0.41053,0.0
17.6,75,57,33.27,-81.617,3.58589,1.41643,15.60597,34.57118,22.43387,991.78601,3.91647,1.03266,0,349.64197,0.61082,0.0
17.7,7,65,33.278,-81.685,3.69435,1.05378,15.51521,35.36618,7.53942,992.3031,3.98077,1.05238,0,345.46158,1.28603,0.0
15.2,36,13,33.226,-81.656,3.8586,-0.6034,10.07077,51.73551,-0.37733,992.99457,4.05119,0.40369,0,81.03264,-0.58334,0.0
15.1,51,55,33.268,-81.641,2.74608,0.07923,10.01439,50.87778,3.50933,993.92383,3.96505,0.30494,0,146.97998,0.00033,0.0
18.0,32,39,33.252,-81.66,4.17028,2.20131,15.63822,34.53597,-5.22579,991.94348,3.9201,0.83846,0,242.07117,7.84802,0.0
12.0,24,39,33.252,-81.668,7.57417,-1.08164,8.51616,53.2607,-3.11345,992.5835,3.75266,0.0005,0,-25.36681,0.4191,0.0
15.5,59,30,33.243,-81.633,3.34217,-0.39608,10.94731,48.24439,2.0615,992.61664,4.00995,0.4701,0,196.98401,-0.50214,0.0
16.7,9,66,33.279,-81.683,3.51267,0.05457,13.69332,40.35318,3.44364,991.73364,4.03222,0.81284,0,266.93317,1.14484,0.0
14.2,30,61,33.274,-81.662,5.55396,-0.61097,8.15784,56.69903,11.18662,995.87268,3.88479,0.08435,0,-0.29507,0.0104,0.0
15.5,10,53,33.266,-81.682,3.07781,-0.25563,11.30793,47.61916,-5.41077,995.41113,4.04367,0.62928,0,197.20599,-0.00119,0.0
12.3,63,52,33.265,-81.629,7.17183,-0.79853,8.19193,54.86666,-7.22953,993.242,3.77816,0.00052,0,-20.63546,0.41662,0.0
17.2,46,10,33.223,-81.646,3.46034,0.82405,14.77783,37.22552,1.91497,993.23083,3.98889,0.77846,0,331.10944,0.81393,0.0
13.6,30,42,33.255,-81.662,6.78365,-1.21055,8.22516,55.06799,7.07768,994.24481,3.79681,0.00083,0,-8.99855,0.10936,0.0
13.3,8,44,33.257,-81.684,6.64871,-0.96498,8.09378,55.60469,7.61058,994.77234,3.79731,0.0005,0,-12.82893,-0.17553,0.0
17.3,32,6,33.219,-81.66,3.58028,0.97562,14.80309,37.44777,-0.32703,993.23322,4.01936,0.78033,0,233.44112,1.58974,0.0
14.3,29,50,33.263,-81.663,5.86078,-0.7475,8.33614,55.76149,4.61771,994.29626,3.87386,0.06354,0,0.06641,-0.08611,0.0
13.9,52,52,33.265,-81.64,6.39292,-0.89452,8.05537,55.98131,4.89702,993.18726,3.8191,0.00052,0,50.86732,-0.38061,0.0
12.5,37,61,33.274,-81.655,6.68324,-0.51976,7.7661,57.33474,9.71241,995.91345,3.82364,0.00601,0,-0.223,-0.03731,0.0
13.4,46,50,33.263,-81.646,6.74006,-1.02617,8.1282,55.29243,3.13761,993.29669,3.79062,0.00083,0,-8.23149,0.15294,0.0
14.9,4,67,33.28,-81.688,3.68471,-0.04098,9.25481,54.06401,-0.86926,993.84302,4.00152,0.38906,0,102.27117,-1.85744,0.0
14.0,55,30,33.243,-81.637,6.7022,-1.49289,8.17264,55.47402,1.24073,993.37695,3.81441,0.00188,0,13.64606,0.53791,0.0
15.4,18,53,33.266,-81.674,3.22972,-0.2013,11.10147,48.06495,-1.06027,995.45642,4.02504,0.61168,0,192.85718,-0.6419,0.0
15.5,54,63,33.276,-81.638,3.44892,-0.24012,10.90522,48.06138,-1.28679,992.12915,3.98539,0.40283,0,108.86913,-0.36712,0.0
16.7,49,52,33.265,-81.643,3.67978,0.04662,13.8761,39.19115,10.71226,992.80621,3.95932,0.64642,0,302.89899,0.73156,0.0
17.0,69,31,33.244,-81.623,3.68369,0.22351,14.40539,37.55763,-3.3314,992.2348,3.93123,0.88639,0,313.76178,0.47176,0.0
12.6,29,35,33.248,-81.663,7.56904,-1.43569,8.44278,53.46784,3.21427,992.43591,3.74891,0.00051,0,-20.48757,0.36896,0.0
14.8,74,46,33.259,-81.618,4.68398,-0.58101,8.91069,54.07425,3.45307,992.30261,3.91545,0.2489,0,121.43718,-0.29955,0.0
17.3,14,32,33.245,-81.678,3.6476,1.17864,14.7979,37.21775,-0.14702,993.16534,3.99357,0.75144,0,225.10516,2.32343,0.0
17.9,24,21,33.234,-81.668,3.82515,1.30631,15.70676,35.01445,3.86798,993.5882,3.98549,0.86909,0,251.94936,3.57385,0.0
13.8,71,64,33.277,-81.621,6.58223,-0.86486,8.07207,55.76163,-12.44075,993.58923,3.80692,0.00338,0,-6.13691,0.27469,0.0
17.2,59,58,33.271,-81.633,3.47828,0.41847,14.90151,36.45061,5.02966,993.27686,3.93747,0.82371,0,305.32846,0.50619,0.0
14.9,59,21,33.234,-81.633,3.72354,-0.3747,9.49624,52.70875,3.72268,994.9292,3.96154,0.52648,0,119.04398,-0.54811,0.0
12.4,79,10,33.223,-81.613,7.33582,-1.60855,8.3567,54.0785,-7.51103,992.34497,3.76973,0.00533,0,-42.0389,0.41748,0.0
17.4,27,18,33.231,-81.665,3.56051,0.70336,14.8828,37.16225,-1.42364,992.85632,4.01115,0.81137,0,234.35846,1.90105,0.0
16.6,61,9,33.222,-81.631,3.5477,0.0924,13.90768,39.44346,7.56813,993.66492,3.9896,0.88742,0,299.11502,0.73983,0.0
15.4,16,8,33.221,-81.676,3.38206,-0.48417,10.74208,49.73272,-2.52383,994.12219,4.07058,0.52766,0,142.56186,44.94027,0.0
17.1,79,11,33.224,-81.613,3.66118,0.61765,14.71649,36.83393,13.32491,991.57111,3.93776,0.95257,0,334.46979,0.46013,0.0
13.2,62,4,33.217,-81.63,7.10209,-1.61838,8.07609,55.57047,7.36878,994.34259,3.79201,0.00322,0,-11.90159,0.36243,0.0
17.4,65,52,33.265,-81.627,3.5162,1.22519,15.23735,35.53166,1.82473,992.67816,3.92593,0.91651,0,336.44797,0.53321,0.0
14.4,20,58,33.271,-81.672,5.06942,-0.34617,8.49266,55.79094,-4.91813,996.07996,3.91068,0.15827,0,76.18103,0.21894,0.0
16.8,33,15,33.228,-81.659,3.44394,0.03727,13.9247,39.64645,-0.73741,992.41968,4.01977,0.72574,0,201.64273,1.58443,0.0
16.9,57,11,33.224,-81.635,3.29332,0.43638,14.61875,37.57799,4.5778,994.99524,3.97765,0.91331,0,313.69843,0.96055,0.0
13.5,31,37,33.25,-81.661,7.11069,-1.52726,8.39824,53.96292,6.95977,992.64148,3.77127,0.00056,0,-13.80368,0.10037,0.0
15.1,25,31,33.244,-81.667,3.46762,-0.04132,9.72403,52.66343,2.82664,993.47937,4.0259,0.27551,0,102.70959,-1.14294,0.0
17.7,54,35,33.248,-81.638,3.87803,1.71319,15.12976,35.72841,-4.05531,991.65002,3.92413,0.85138,0,297.46991,2.32006,0.0
15.3,68,65,33.278,-81.624,3.96585,-0.14704,10.27007,49.80882,-3.95402,992.15186,3.95672,0.36613,0,175.81081,-0.50054,0.0
16.8,34,19,33.232,-81.658,3.73648,0.18246,13.85328,39.70129,4.51438,992.05591,4.00789,0.67468,0,320.81213,1.00168,0.0
14.9,73,56,33.269,-81.619,4.21053,-0.30375,9.40333,52.44889,4.93346,992.99121,3.92489,0.33928,0,133.70224,-0.23938,0.0
17.8,53,9,33.222,-81.639,3.99661,1.96184,15.74503,34.67937,-7.28308,995.18347,3.95073,0.93247,0,356.06091,1.45259,0.0
17.7,40,67,33.28,-81.652,3.62397,0.99956,15.48078,35.1291,6.54926,993.08569,3.94203,0.81861,0,225.52699,4.3944,0.0
15.7,61,42,33.255,-81.631,3.45264,-0.36694,11.42683,46.40638,1.64599,991.8194,3.98687,0.47885,0,209.72124,0.13692,0.0
16.5,10,40,33.253,-81.682,3.34804,0.17958,13.51606,40.86668,5.56296,993.26007,4.02964,0.76018,0,290.56073,0.73098,0.0
14.8,35,55,33.268,-81.657,3.58427,-0.14902,9.26007,53.27766,10.40279,994.06396,3.94385,0.29296,0,31.76675,0.5187,0.0
14.5,39,38,33.251,-81.653,5.58831,-0.81267,8.47486,55.42273,1.26989,992.98578,3.89236,0.07972,0,-2.3896,0.69385,0.0
14.9,16,55,33.268,-81.676,3.45577,-0.20711,9.7321,52.13438,-3.15956,995.88196,3.97791,0.46046,0,132.14929,-0.93573,0.0
12.5,29,45,33.258,-81.663,7.15439,-0.96496,8.1364,55.24696,7.5989,994.56299,3.78477,0.00101,0,-10.18507,0.20149,0.0
17.0,26,52,33.265,-81.666,3.28703,0.49548,14.52435,37.82515,0.89951,993.2782,3.98606,0.86161,0,206.87917,1.23878,0.0
15.9,33,16,33.229,-81.659,3.71919,-0.53014,11.9583,45.54265,3.78012,992.49902,4.05173,0.50845,0,223.68956,0.78874,0.0
17.4,52,57,33.27,-81.64,3.59943,0.78889,15.2661,35.64074,12.85084,993.55908,3.94185,0.79173,0,333.94128,0.51531,0.0
13.8,29,49,33.262,-81.663,6.59092,-1.04291,8.17487,55.52481,2.02268,994.47351,3.81422,0.0005,0,-7.54419,0.09035,0.0
12.0,41,66,33.279,-81.651,7.10521,-0.5283,8.06401,55.66732,0.46188,993.93481,3.79704,0.00277,0,-0.73574,-0.03269,0.0
16.9,35,59,33.272,-81.657,3.32902,0.17817,14.42814,38.0368,-0.70291,994.91022,3.97645,0.76479,0,199.62033,1.40599,0.0
16.0,54,48,33.261,-81.638,3.66234,-0.34971,12.2216,43.87096,3.71673,991.68207,3.97562,0.5157,0,193.7905,0.63278,0.0
15.5,26,14,33.227,-81.666,3.51278,-0.45233,10.9102,49.19205,1.86142,992.92426,4.07722,0.47825,0,200.67552,19.07989,0.0
